Date(TimeStamp),Time(TimeStamp),TimeStamp,GantryFrom,GantryTo,avg(Speed),sum(Volume)
2024-01-06,00:00:00,"2024-01-06 00:00:00",05F0055N,05F0001N,85,25
2024-01-06,00:05:00,"2024-01-06 00:05:00",05F0055N,05F0001N,78.66666666666667,52
2024-01-06,00:10:00,"2024-01-06 00:10:00",05F0055N,05F0001N,85,29
2024-01-06,00:15:00,"2024-01-06 00:15:00",05F0055N,05F0001N,79,38
2024-01-06,00:20:00,"2024-01-06 00:20:00",05F0055N,05F0001N,83,42
2024-01-06,00:25:00,"2024-01-06 00:25:00",05F0055N,05F0001N,82.5,34
2024-01-06,00:30:00,"2024-01-06 00:30:00",05F0055N,05F0001N,82,45
2024-01-06,00:35:00,"2024-01-06 00:35:00",05F0055N,05F0001N,86,20
2024-01-06,00:40:00,"2024-01-06 00:40:00",05F0055N,05F0001N,79,37
2024-01-06,00:45:00,"2024-01-06 00:45:00",05F0055N,05F0001N,80,39
2024-01-06,00:50:00,"2024-01-06 00:50:00",05F0055N,05F0001N,86,24
2024-01-06,00:55:00,"2024-01-06 00:55:00",05F0055N,05F0001N,84,45
2024-01-06,01:00:00,"2024-01-06 01:00:00",05F0055N,05F0001N,86,24
2024-01-06,01:05:00,"2024-01-06 01:05:00",05F0055N,05F0001N,86,10
2024-01-06,01:10:00,"2024-01-06 01:10:00",05F0055N,05F0001N,82.33333333333333,28
2024-01-06,01:15:00,"2024-01-06 01:15:00",05F0055N,05F0001N,84,33
2024-01-06,01:20:00,"2024-01-06 01:20:00",05F0055N,05F0001N,90,17
2024-01-06,01:25:00,"2024-01-06 01:25:00",05F0055N,05F0001N,83.5,27
2024-01-06,01:30:00,"2024-01-06 01:30:00",05F0055N,05F0001N,86,20
2024-01-06,01:35:00,"2024-01-06 01:35:00",05F0055N,05F0001N,85,21
2024-01-06,01:40:00,"2024-01-06 01:40:00",05F0055N,05F0001N,84,34
2024-01-06,01:45:00,"2024-01-06 01:45:00",05F0055N,05F0001N,89.5,20
2024-01-06,01:50:00,"2024-01-06 01:50:00",05F0055N,05F0001N,86,23
2024-01-06,01:55:00,"2024-01-06 01:55:00",05F0055N,05F0001N,91.5,24
2024-01-06,02:00:00,"2024-01-06 02:00:00",05F0055N,05F0001N,89.5,20
2024-01-06,02:05:00,"2024-01-06 02:05:00",05F0055N,05F0001N,84,13
2024-01-06,02:10:00,"2024-01-06 02:10:00",05F0055N,05F0001N,84.66666666666667,23
2024-01-06,02:15:00,"2024-01-06 02:15:00",05F0055N,05F0001N,90,13
2024-01-06,02:20:00,"2024-01-06 02:20:00",05F0055N,05F0001N,82,19
2024-01-06,02:25:00,"2024-01-06 02:25:00",05F0055N,05F0001N,82,15
2024-01-06,02:30:00,"2024-01-06 02:30:00",05F0055N,05F0001N,88,25
2024-01-06,02:35:00,"2024-01-06 02:35:00",05F0055N,05F0001N,95,6
2024-01-06,02:40:00,"2024-01-06 02:40:00",05F0055N,05F0001N,84,22
2024-01-06,02:45:00,"2024-01-06 02:45:00",05F0055N,05F0001N,64,18
2024-01-06,02:50:00,"2024-01-06 02:50:00",05F0055N,05F0001N,82.5,15
2024-01-06,02:55:00,"2024-01-06 02:55:00",05F0055N,05F0001N,89,12
2024-01-06,03:00:00,"2024-01-06 03:00:00",05F0055N,05F0001N,85,20
2024-01-06,03:05:00,"2024-01-06 03:05:00",05F0055N,05F0001N,84,22
2024-01-06,03:10:00,"2024-01-06 03:10:00",05F0055N,05F0001N,89.5,17
2024-01-06,03:15:00,"2024-01-06 03:15:00",05F0055N,05F0001N,86,16
2024-01-06,03:20:00,"2024-01-06 03:20:00",05F0055N,05F0001N,86,19
2024-01-06,03:25:00,"2024-01-06 03:25:00",05F0055N,05F0001N,84,9
2024-01-06,03:30:00,"2024-01-06 03:30:00",05F0055N,05F0001N,81.5,27
2024-01-06,03:35:00,"2024-01-06 03:35:00",05F0055N,05F0001N,90.5,17
2024-01-06,03:40:00,"2024-01-06 03:40:00",05F0055N,05F0001N,86,20
2024-01-06,03:45:00,"2024-01-06 03:45:00",05F0055N,05F0001N,84.5,14
2024-01-06,03:50:00,"2024-01-06 03:50:00",05F0055N,05F0001N,81.5,17
2024-01-06,03:55:00,"2024-01-06 03:55:00",05F0055N,05F0001N,86,14
