Date(TimeStamp),Time(TimeStamp),TimeStamp,GantryFrom,GantryTo,avg(Speed),sum(Volume)
2025-01-04,00:00:00,"2025-01-04 00:00:00",05F0287N,05F0055N,83.33333333333333,37
2025-01-04,00:05:00,"2025-01-04 00:05:00",05F0287N,05F0055N,75,44
2025-01-04,00:10:00,"2025-01-04 00:10:00",05F0287N,05F0055N,80.5,38
2025-01-04,00:15:00,"2025-01-04 00:15:00",05F0287N,05F0055N,82,22
2025-01-04,00:20:00,"2025-01-04 00:20:00",05F0287N,05F0055N,77.66666666666667,35
2025-01-04,00:25:00,"2025-01-04 00:25:00",05F0287N,05F0055N,80.5,36
2025-01-04,00:30:00,"2025-01-04 00:30:00",05F0287N,05F0055N,82,24
2025-01-04,00:35:00,"2025-01-04 00:35:00",05F0287N,05F0055N,82,30
2025-01-04,00:40:00,"2025-01-04 00:40:00",05F0287N,05F0055N,84,23
2025-01-04,00:45:00,"2025-01-04 00:45:00",05F0287N,05F0055N,79,45
2025-01-04,00:50:00,"2025-01-04 00:50:00",05F0287N,05F0055N,81.5,28
2025-01-04,00:55:00,"2025-01-04 00:55:00",05F0287N,05F0055N,83,25
2025-01-04,01:00:00,"2025-01-04 01:00:00",05F0287N,05F0055N,84,24
2025-01-04,01:05:00,"2025-01-04 01:05:00",05F0287N,05F0055N,86,30
2025-01-04,01:10:00,"2025-01-04 01:10:00",05F0287N,05F0055N,84,21
2025-01-04,01:15:00,"2025-01-04 01:15:00",05F0287N,05F0055N,80.5,32
2025-01-04,01:20:00,"2025-01-04 01:20:00",05F0287N,05F0055N,84,24
2025-01-04,01:25:00,"2025-01-04 01:25:00",05F0287N,05F0055N,86,27
2025-01-04,01:30:00,"2025-01-04 01:30:00",05F0287N,05F0055N,86,16
2025-01-04,01:35:00,"2025-01-04 01:35:00",05F0287N,05F0055N,84,28
2025-01-04,01:40:00,"2025-01-04 01:40:00",05F0287N,05F0055N,84,16
2025-01-04,01:45:00,"2025-01-04 01:45:00",05F0287N,05F0055N,80.5,34
2025-01-04,01:50:00,"2025-01-04 01:50:00",05F0287N,05F0055N,84,21
2025-01-04,01:55:00,"2025-01-04 01:55:00",05F0287N,05F0055N,85,16
2025-01-04,02:00:00,"2025-01-04 02:00:00",05F0287N,05F0055N,79,20
2025-01-04,02:05:00,"2025-01-04 02:05:00",05F0287N,05F0055N,83.33333333333333,26
2025-01-04,02:10:00,"2025-01-04 02:10:00",05F0287N,05F0055N,85,27
2025-01-04,02:15:00,"2025-01-04 02:15:00",05F0287N,05F0055N,83,20
2025-01-04,02:20:00,"2025-01-04 02:20:00",05F0287N,05F0055N,81.66666666666667,12
2025-01-04,02:25:00,"2025-01-04 02:25:00",05F0287N,05F0055N,79,27
2025-01-04,02:30:00,"2025-01-04 02:30:00",05F0287N,05F0055N,89,11
2025-01-04,02:35:00,"2025-01-04 02:35:00",05F0287N,05F0055N,86,16
